,Protein / seconds,Polypeptide / seconds,Amino acid / seconds,Heteroploycondensate(HPC) / seconds,Polysaccharides / seconds,Oligosaccharides / seconds,Humic acid / seconds,Monosaccharides / seconds,Inorganic carbon/ seconds,Lipids / seconds,Pigments / seconds,Porphyrin / seconds,V-Phenol / seconds,S-Phenol / seconds,C-Phenol / seconds
59,8980431.125856563,2052659.0678755129,922863.4655919546,877236748282.4626,26067597.561844617,7726337.790122835,25597771.536196914,23808575.94285618,2564085.813893413,2011999.4089767886,9156724.676782906,8639965.094877848,2573198.550123469,2694080.8548637517,2718087.9281536066
60,8752472.383109935,1970702.747904866,786560.7959795462,895972407271.4025,24140396.046288718,7846367.780644688,24473465.13661425,25340853.629498992,2546174.5914638094,1880026.9750271928,8631543.80770227,8195209.108696427,2542248.7837466775,2401514.6280536326,2656105.5396082834
61,8855510.402138887,2134557.1819655634,799321.1635938352,932276445910.2456,27667991.35985576,7266783.9084521085,25996119.003101945,25868274.926582,2609351.593751365,1886390.3708021443,8854035.024424111,8704001.114057167,2685970.798246132,2438423.7102471692,2602486.052741059
62,8864389.070516773,2120705.028607324,846314.1532522546,890619665345.8378,26128626.255840406,7777038.27055997,26185695.5709536,24629109.78645202,2500755.0784657532,1978209.0545607267,8553200.342475617,9183665.104946714,2447753.9303766275,2620534.09707614,2611981.881065929
63,8404573.11711618,1986510.5928015402,848707.6383005696,859591853762.538,27753003.066956747,7753662.103793554,26559355.889428847,25572910.123814046,2723526.0926034763,1995035.1205618952,8551483.70760438,9282892.9370255,2380865.1510591405,2622243.129950819,2626854.868333649
64,9268587.021507688,1873329.8229386534,854700.8437293945,812040982976.8541,24932552.405959576,7906294.504478591,25211188.140234534,26422233.219339512,2528044.936952841,1909960.7973344047,8654655.6253033,8304441.107483305,2453741.0220516273,2479826.4340035436,2694290.7490845537
65,8781305.64005147,2123515.1960928235,839020.4491813055,884071874240.3895,26732761.948862903,8133567.625970427,25602054.289632678,27156459.010155223,2441354.143456803,2017670.7409887686,7868507.481494433,8704472.384308262,2568940.185252454,2596676.1120106773,2651124.2678816286
66,9083482.113343317,2022472.2912695005,891644.0035939759,836659633212.9257,27719850.284903668,7945293.135817047,25441710.543159507,24785476.76002118,2422863.6249557473,1833764.6607341236,9097194.36188224,8742266.45765536,2371210.128781072,2442518.1456212522,2654202.946515836
67,8008630.181295245,2163167.7981178667,878878.3352299156,925759399115.663,27062709.603080306,7720900.924112219,26482153.26595731,26535923.507664934,2616330.757776847,2028801.5362759398,8771895.003439702,8388246.873213177,2769671.211028987,2677211.3194056214,2526779.990942054
68,7950547.141653491,2031344.9803106966,791308.9261322538,874391922263.0658,25356394.326693747,7552763.634127991,25126969.767211698,25680360.4453555,2584847.64787051,1979384.1645247939,9233070.753999371,9044279.680723183,2575883.543883179,2439449.562231218,2431528.5276789055
69,8710197.185110155,1839918.5767213148,908201.0793090567,820590175785.7324,26088889.50349779,7938638.383035174,26109464.646623746,26133674.647160277,2801173.8669380588,2032450.1421895616,8815342.872472886,8325764.474156467,2620102.6576462,2638580.9641391356,2567850.9227249986
70,8612031.754566537,2060168.2764298269,828582.9941999892,858388692593.2305,27066913.56310759,8027510.762233645,26928085.451060627,25797985.77519158,2569039.3553914945,1917878.1485240327,9029533.788290108,8937913.48656279,2573908.133759874,2569688.8583717844,2498421.0249598115
71,9215020.808337178,2004745.5702789002,890154.6667390813,819707349079.9482,27794738.51831791,7975701.5541617,24794262.76182676,25265919.81098843,2478714.4517094526,1853427.9924265032,8807248.026751302,8485799.603334967,2778800.497444903,2709803.2807350764,2611231.9427668722
72,8682310.481265916,1872407.814035737,819704.0272013566,831294865580.6635,24971660.52381799,7446389.709527186,25832281.402363963,27084262.060472716,2396379.0952711194,2087546.4731373705,8898331.19791711,9292998.827617258,2612314.405030486,2384414.697898965,2479413.890338408
73,8185382.22856012,1922058.9746254527,836343.0964731008,930172321398.2153,26620209.21659341,7418782.124856795,25332979.254863787,23644556.43821487,2536520.16135145,1994473.9123013085,8354008.178462189,8665759.594436033,2602370.2257486708,2532787.1080668806,2506433.9730004636
74,8654992.828489175,2144824.530690399,896802.1674065033,810287378277.1333,27122983.67970334,7969583.229430836,26566081.920022637,25227245.395997122,2700336.905498798,2111279.4364778576,8643672.286313456,8092858.42084774,2529703.5531636314,2476494.9012590186,2690495.6386904456
75,9207726.665388782,2076097.8559484011,825437.0415970983,900614899300.6948,25928928.060595922,7501521.046972588,26145742.83794511,24912089.21619294,2631242.0100255185,1984271.6701084634,8233487.9344762275,8225384.410398208,2515981.4721973366,2698327.1723147193,2643964.3423015573
76,8183113.1202775035,2031747.8291580628,836522.6451758104,836945149799.1133,26032849.081135362,7787441.920663294,24603925.735641398,24826189.97820255,2664420.4411037136,1963493.9943212923,8555319.134225937,9239874.160715975,2562142.427856234,2494940.9559579585,2636387.5629555164
77,8481862.963444298,1839676.9217252743,852435.9422205443,893089708058.3988,26909143.098190203,7976785.411103485,26187839.60220897,26458719.62252363,2659064.0039926074,1926403.8754125487,8789039.87718919,8830522.620968742,2630329.9137434633,2504347.276489195,2534251.0005636024
