,Protein,Polypeptide,Amino acid,Heteroploycondensate(HPC),Polysaccharides,Oligosaccharides,Humic acid,Monosaccharides,Inorganic carbon,Lipids,Pigments,Porphyrin,V-Phenol,S-Phenol,C-Phenol
160,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
161,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
162,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
163,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
164,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
165,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
166,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
167,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
168,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
169,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
170,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
171,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
172,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
173,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
174,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
175,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
176,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
177,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
178,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
179,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
180,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
181,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
182,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
183,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
184,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
185,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
186,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
187,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
188,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
189,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
190,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
191,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
192,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
193,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
194,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
195,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
196,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
197,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
198,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
199,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
