Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar,,,Sam #500,Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar
17.93240372,3.952935636,0.820283548,372.5440421,24.62140231,3.346758994,0.001758351,0.7528777,11.53723685,3.229712455,3.379266425,1.795321292,44.43563866,0.102226613,0.220849299,0.323610028,0.64668594,433.0234485,,,,,,,,,,,,,,,,,,,,,
14.98838694,3.330508203,0.682939009,384.0999538,20.16344217,2.902235016,0.001711347,0.685850764,10.61258466,3.056028951,2.851322371,1.466292697,44.40951929,0.084144353,0.173983314,0.296630353,0.554758021,434.7834293,,,,,,,,,,,,,,,,,,,,,
15.95651257,3.574176009,0.761194089,383.2964498,21.94947733,3.088605267,0.001761218,0.755368686,10.27916178,2.869924447,3.030892692,1.610905319,44.76302145,0.09282097,0.196749777,0.304148022,0.593718769,437.4889862,,,,,,,,,,,,,,,,,,,,,
10.24585777,2.246694897,0.482223812,401.8605853,14.16771533,1.94623022,0.002051348,0.474862226,6.699824426,2.069818656,1.998960983,1.028501909,44.35808923,0.061373633,0.122015445,0.180192838,0.363581916,436.8870843,,,,,,,,,,,,,,,,,,,,,
13.53698606,3.389770222,0.671875181,392.4060779,19.19972856,2.678510044,0.001810363,0.64845191,9.122660294,2.756758478,2.782217752,1.305655941,44.83603412,0.087141103,0.164060308,0.215022942,0.466224353,439.8440667,,,,,,,,,,,,,,,,,,,,,
10.60407438,2.708214618,0.536637932,399.24985,15.27052878,2.072610585,0.001803038,0.516486528,7.130265257,2.071298856,2.093744991,1.133168165,44.33749731,0.068561024,0.131785529,0.179022293,0.379368846,436.6377867,,,,,,,,,,,,,,,,,,,,,
16.74231286,4.300112117,0.894833256,389.0284969,23.87494415,3.374141765,0.001932012,0.840831462,12.37388196,3.147963406,3.312602236,1.766141617,45.86232319,0.104009038,0.234350663,0.2873929,0.625752601,447.9100644,,,,,,,,,,,,,,,,,,,,,
18.67054648,4.069423206,0.918656135,368.4448292,26.27897276,3.244646175,0.001633988,0.803611084,13.514936,3.844272347,3.605431534,1.925308765,44.45847499,0.110106431,0.205091735,0.339944629,0.655142795,432.4624745,,,,,,,,,,,,,,,,,,,,,
16.65755984,3.590728785,0.77998545,380.9555,22.57414523,2.863206381,0.001762119,0.658908851,11.50268439,3.063339961,3.327264433,1.479958691,44.78386532,0.095540462,0.237408041,0.319585448,0.652533951,436.6048937,,,,,,,,,,,,,,,,,,,,,
16.50555566,4.279802392,0.877223284,370.661473,23.61093319,3.231900911,0.001762536,0.785593601,11.97289015,3.090517873,3.375786493,1.658068315,43.95360551,0.101813979,0.207235065,0.306247429,0.615296473,428.6939137,,,,,,,,,,,,,,,,,,,,,
10.38207354,2.378036956,0.462103549,412.200889,14.1331771,1.925916694,0.002015015,0.492193308,6.650156822,2.088106787,2.038365144,0.995258363,45.42255446,0.068797671,0.133877939,0.19318712,0.39586273,447.4939982,,,,,,,,,,,,,,,,,,,,,
12.53994673,2.830494182,0.649225588,388.8598309,17.36128383,2.593165681,0.001853706,0.635374073,8.192025075,2.566140439,2.421179943,1.334328082,44.04234516,0.083139932,0.138993122,0.222895335,0.445028389,432.2378515,,,,,,,,,,,,,,,,,,,,,
9.965995945,2.342855625,0.512416608,422.193138,14.21373716,1.923675878,0.001872134,0.457412944,7.257779126,1.699922525,2.024788668,0.973654417,46.33492714,0.058925559,0.119453901,0.186986156,0.365365617,456.6748355,,,,,,,,,,,,,,,,,,,,,
8.958888485,2.227774029,0.453187798,423.0024351,12.61481845,1.85344633,0.001965594,0.453903869,6.115634951,1.465895191,1.831318009,0.894159511,46.02391058,0.04854046,0.106767493,0.154694177,0.31000213,454.0677945,,,,,,,,,,,,,,,,,,,,,
17.82104804,4.612954928,0.891358134,365.5058445,25.23145119,3.796256105,0.001688643,0.913831861,12.67839878,3.899215416,3.486580576,1.935168777,43.97897555,0.098960221,0.216738624,0.364716157,0.680415001,428.7758131,,,,,,,,,,,,,,,,,,,,,
15.52989452,4.126150251,0.866247902,379.4099998,22.6559702,3.179227141,0.001907461,0.780161768,11.40260028,3.039759427,3.332149813,1.535209192,44.56601406,0.106356012,0.188055839,0.325787019,0.62019887,435.0768763,,,,,,,,,,,,,,,,,,,,,
9.068282584,2.523383406,0.492586226,413.8036975,13.12609774,1.912260593,0.001984923,0.423390797,6.414624906,2.098164649,1.851021619,0.961499154,45.2163947,0.055965331,0.118152364,0.179445714,0.353563409,446.6159326,,,,,,,,,,,,,,,,,,,,,
11.49995118,3.014388517,0.591622821,393.806046,16.63222674,2.30398833,0.001877928,0.53121856,8.57383369,2.624087084,2.318754783,1.220900326,44.22297192,0.077207798,0.165247898,0.220323379,0.462779075,435.0078414,,,,,,,,,,,,,,,,,,,,,
18.06116013,4.274643028,0.82697009,367.300318,24.59077498,3.438774881,0.001663334,0.764355381,11.82528989,3.862401673,3.610596276,1.630674844,43.98145861,0.110299666,0.212462129,0.295540268,0.618302062,428.9806347,,,,,,,,,,,,,,,,,,,,,
19.66976417,4.532455294,0.915587505,360.4292696,26.88793038,3.715445226,0.001802068,0.909735236,13.58028236,3.839422812,3.901167725,1.856465928,44.01571076,0.11908454,0.235024605,0.397932471,0.752041616,427.4110875,,,,,,,,,,,,,,,,,,,,,
12.39077373,3.023265571,0.592769262,420.9318774,17.31931544,2.615606023,0.001890988,0.597411181,8.268417956,2.447745248,2.49294204,1.265172227,47.25121615,0.0777853,0.152360663,0.257238182,0.487384145,464.1661532,,,,,,,,,,,,,,,,,,,,,
20.45476403,4.988235773,1.045487494,371.2563705,28.94518757,3.940669574,0.001595975,0.881049726,14.29879349,3.465712941,4.030490093,2.113139465,45.59748516,0.142138954,0.287667967,0.426987469,0.85679439,441.9794975,,,,,,,,,,,,,,,,,,,,,
17.03986789,4.063303641,0.905475552,387.859002,24.12967512,3.452975284,0.001773999,0.833552526,12.81975689,3.365120716,3.496182775,1.686251146,45.89822194,0.108170233,0.226573674,0.349804666,0.684548574,447.5177292,,,,,,,,,,,,,,,,,,,,,
